1.0 [Titulo:Saraiva.com.br: Livros, Tablets, Blu; Preco:R$ 0,00; ; desenvolvedor:null; Url:http://www.saraiva.com.br; Doc:000 ]
2.0 [Titulo:Saraiva ; Preco:R$ 0,00; ; desenvolvedor:null; Url:https://www.saraiva.com.br/games; Doc:013 ]
4.0 [Titulo:Dirt4 ; Preco:R$ 224,91; genero:Corrida,Simuladores; desenvolvedor:null; Url:https://www.saraiva.com.br/dirt4-ps4-9726415; Doc:015 ]
5.0 [Titulo:Dirt4 ; Preco:R$ 224,91; genero:Corrida,Simuladores; desenvolvedor:null; Url:https://www.saraiva.com.br/dirt4-ps4-9726415.html; Doc:016 ]
6.0 [Titulo:Compre uma Placa de video Asus,ganhe um jogo; Preco:R$ 0,00; ; desenvolvedor:null; Url:https://www.saraiva.com.br/promocoes/compre-placa-de-video-e-ganhe-jogo; Doc:022 ]
7.0 [Titulo:PES 2016 ; Preco:R$ 71,91; genero:esporte; desenvolvedor:null; Url:https://www.saraiva.com.br/pes-2016-pro-evolution-soccer-ps4-9035088; Doc:025 ]
8.0 [Titulo:PES 2016 ; Preco:R$ 71,91; genero:esporte; desenvolvedor:null; Url:https://www.saraiva.com.br/pes-2016-pro-evolution-soccer-ps4-9035088.html; Doc:026 ]
9.0 [Titulo:Tearaway Unfolded ; Preco:R$ 53,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/tearaway-unfolded-ps4-9012619; Doc:029 ]
10.0 [Titulo:Tearaway Unfolded ; Preco:R$ 53,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/tearaway-unfolded-ps4-9012619.html; Doc:030 ]
11.0 [Titulo:Formula 1 2015 ; Preco:R$ 125,91; genero:Corrida,Simuladores; desenvolvedor:null; Url:https://www.saraiva.com.br/formula-1-2015-xbox-one-8892995; Doc:031 ]
12.0 [Titulo:Formula 1 2015 ; Preco:R$ 125,91; genero:Corrida,Simuladores; desenvolvedor:null; Url:https://www.saraiva.com.br/formula-1-2015-xbox-one-8892995.html; Doc:032 ]
13.0 [Titulo:Until Dawn ; Preco:R$ 89,10; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/until-dawn-ps4-8955476; Doc:037 ]
14.0 [Titulo:Until Dawn ; Preco:R$ 89,10; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/until-dawn-ps4-8955476.html; Doc:038 ]
15.0 [Titulo:Gears Of War ; Preco:R$ 71,10; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/gears-of-war-ultimate-edition-remasterizado-xbox-one-8987640; Doc:039 ]
16.0 [Titulo:Gears Of War ; Preco:R$ 71,10; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/gears-of-war-ultimate-edition-remasterizado-xbox-one-8987640.html; Doc:040 ]
17.0 [Titulo:Gears Of War ; Preco:R$ 71,10; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/index.php/gears-of-war-ultimate-edition-remasterizado-xbox-one-8987640.html?___store=admin; Doc:041 ]
18.0 [Titulo:Mad Max ; Preco:R$ 17,91; genero:para PC acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/mad-max-pc-8977494; Doc:044 ]
19.0 [Titulo:Mad Max ; Preco:R$ 17,91; genero:para PC acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/mad-max-pc-8977494.html; Doc:045 ]
20.0 [Titulo:Mad Max Br ; Preco:R$ 161,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/mad-max-br-xbox-one-8977482; Doc:046 ]
21.0 [Titulo:Mad Max Br ; Preco:R$ 161,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/mad-max-br-xbox-one-8977482.html; Doc:047 ]
22.0 [Titulo:Forza Motorsport 6 ; Preco:R$ 143,10; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/forza-motorsport-6-xbox-one-9018257; Doc:048 ]
23.0 [Titulo:Forza Motorsport 6 ; Preco:R$ 143,10; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/forza-motorsport-6-xbox-one-9018257.html; Doc:049 ]
24.0 [Titulo:PES 2016 ; Preco:R$ 53,91; genero:esporte; desenvolvedor:null; Url:https://www.saraiva.com.br/pes-2016-pro-evolution-soccer-ps3-9035103; Doc:062 ]
25.0 [Titulo:PES 2016 ; Preco:R$ 53,91; genero:esporte; desenvolvedor:null; Url:https://www.saraiva.com.br/pes-2016-pro-evolution-soccer-ps3-9035103.html; Doc:063 ]
26.0 [Titulo:PES 2016 ; Preco:R$ 44,91; genero:esporte; desenvolvedor:null; Url:https://www.saraiva.com.br/pes-2016-pro-evolution-soccer-xbox-one-9029638; Doc:064 ]
27.0 [Titulo:PES 2016 ; Preco:R$ 44,91; genero:esporte; desenvolvedor:null; Url:https://www.saraiva.com.br/pes-2016-pro-evolution-soccer-xbox-one-9029638.html; Doc:065 ]
28.0 [Titulo:Bloodborne ; Preco:R$ 89,10; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/bloodborne-ps4-8646585; Doc:071 ]
29.0 [Titulo:Bloodborne ; Preco:R$ 89,10; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/bloodborne-ps4-8646585.html; Doc:072 ]
30.0 [Titulo:GTA ; Preco:R$ 116,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/gta-grand-theft-auto-v-ps3-4851867; Doc:073 ]
31.0 [Titulo:GTA ; Preco:R$ 116,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/gta-grand-theft-auto-v-ps3-4851867.html; Doc:074 ]
32.0 [Titulo:God Of War III ; Preco:R$ 89,10; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/god-of-war-iii-remasterizado-ps4-8884795; Doc:079 ]
33.0 [Titulo:God Of War III ; Preco:R$ 89,10; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/god-of-war-iii-remasterizado-ps4-8884795.html; Doc:080 ]
34.0 [Titulo:Mad Max ; Preco:R$ 161,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/mad-max-ps4-8976569; Doc:089 ]
35.0 [Titulo:Mad Max ; Preco:R$ 161,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/mad-max-ps4-8976569.html; Doc:090 ]
36.0 [Titulo:The Witcher 3 ; Preco:R$ 143,91; genero:RPG; desenvolvedor:null; Url:https://www.saraiva.com.br/the-witcher-3-wild-hunt-ps4-8161699; Doc:095 ]
37.0 [Titulo:The Witcher 3 ; Preco:R$ 143,91; genero:RPG; desenvolvedor:null; Url:https://www.saraiva.com.br/the-witcher-3-wild-hunt-ps4-8161699.html; Doc:096 ]
38.0 [Titulo:Legend Of Kay ; Preco:R$ 44,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/legend-of-kay-ps4-9017286; Doc:097 ]
39.0 [Titulo:Legend Of Kay ; Preco:R$ 44,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/legend-of-kay-ps4-9017286.html; Doc:098 ]
40.0 [Titulo:One Piece Pirate Warriors 3 ; Preco:R$ 206,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/one-piece-pirate-warriors-3-ps4-9020964; Doc:099 ]
41.0 [Titulo:One Piece Pirate Warriors 3 ; Preco:R$ 206,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/one-piece-pirate-warriors-3-ps4-9020964.html; Doc:100 ]
42.0 [Titulo:Grand Theft Auto ; Preco:R$ 98,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/grand-theft-auto-san-andreas-xbox-360-9020936; Doc:101 ]
43.0 [Titulo:Grand Theft Auto ; Preco:R$ 98,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/grand-theft-auto-san-andreas-xbox-360-9020936.html; Doc:102 ]
44.0 [Titulo:Formula 1 2015 ; Preco:R$ 125,91; genero:Corrida,Simuladores; desenvolvedor:null; Url:https://www.saraiva.com.br/formula-1-2015-ps4-8892989; Doc:103 ]
45.0 [Titulo:Formula 1 2015 ; Preco:R$ 125,91; genero:Corrida,Simuladores; desenvolvedor:null; Url:https://www.saraiva.com.br/formula-1-2015-ps4-8892989.html; Doc:104 ]
46.0 [Titulo:Crash Bandicoot N'sane Trilogy ; Preco:R$ 134,10; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/crash-bandicoot-nsane-trilogy-ps4-9719920; Doc:121 ]
47.0 [Titulo:Crash Bandicoot N'sane Trilogy ; Preco:R$ 134,10; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/crash-bandicoot-nsane-trilogy-ps4-9719920.html; Doc:122 ]
48.0 [Titulo:Horizon ; Preco:R$ 161,10; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/horizon-zero-dawn-ps4-9411397.html; Doc:123 ]
49.0 [Titulo:Street Fighter V ; Preco:R$ 44,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/street-fighter-v-ps4-9651605.html; Doc:124 ]
50.0 [Titulo:Lucha Libre Aaa ; Preco:R$ 134,91; genero:esporte; desenvolvedor:null; Url:https://www.saraiva.com.br/lucha-libre-aaa-heroes-del-ring-ps3-3093281; Doc:134 ]
51.0 [Titulo:Lucha Libre Aaa ; Preco:R$ 134,91; genero:esporte; desenvolvedor:null; Url:https://www.saraiva.com.br/lucha-libre-aaa-heroes-del-ring-ps3-3093281.html; Doc:135 ]
52.0 [Titulo:Blob 2 ; Preco:R$ 179,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/de-blob-2-ps3-3409485; Doc:144 ]
53.0 [Titulo:Blob 2 ; Preco:R$ 179,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/de-blob-2-ps3-3409485.html; Doc:145 ]
54.0 [Titulo:Pimp My Ride ; Preco:R$ 138,51; genero:Corrida,Simuladores; desenvolvedor:null; Url:https://www.saraiva.com.br/pimp-my-ride-wii-2598957; Doc:150 ]
55.0 [Titulo:Pimp My Ride ; Preco:R$ 138,51; genero:Corrida,Simuladores; desenvolvedor:null; Url:https://www.saraiva.com.br/pimp-my-ride-wii-2598957.html; Doc:151 ]
56.0 [Titulo:My Word Coach ; Preco:R$ 179,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/my-word-coach-wii-2576166; Doc:152 ]
57.0 [Titulo:My Word Coach ; Preco:R$ 179,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/my-word-coach-wii-2576166.html; Doc:153 ]
58.0 [Titulo:Sid Meier's Pirates! ; Preco:R$ 143,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/sid-meiers-pirates-wii-3300231; Doc:154 ]
59.0 [Titulo:Sid Meier's Pirates! ; Preco:R$ 143,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/sid-meiers-pirates-wii-3300231.html; Doc:155 ]
60.0 [Titulo:Beowulf ; Preco:R$ 179,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/beowulf-psp-2003048; Doc:156 ]
61.0 [Titulo:Beowulf ; Preco:R$ 179,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/beowulf-psp-2003048.html; Doc:157 ]
62.0 [Titulo:Pok?mon Sun ; Preco:R$ 152,91; genero:RPG; desenvolvedor:null; Url:https://www.saraiva.com.br/pokemon-sun-3ds-9390299; Doc:158 ]
63.0 [Titulo:Pok?mon Sun ; Preco:R$ 152,91; genero:RPG; desenvolvedor:null; Url:https://www.saraiva.com.br/pokemon-sun-3ds-9390299.html; Doc:159 ]
64.0 [Titulo:Final Fantasy XV ; Preco:R$ 161,91; genero:RPG; desenvolvedor:null; Url:https://www.saraiva.com.br/final-fantasy-xv-ps4-9351268; Doc:160 ]
65.0 [Titulo:Final Fantasy XV ; Preco:R$ 161,91; genero:RPG; desenvolvedor:null; Url:https://www.saraiva.com.br/final-fantasy-xv-ps4-9351268.html; Doc:161 ]
66.0 [Titulo:One Piece ; Preco:R$ 143,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/one-piece-burning-blood-xbox-one-9342695; Doc:162 ]
67.0 [Titulo:One Piece ; Preco:R$ 143,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/one-piece-burning-blood-xbox-one-9342695.html; Doc:163 ]
68.0 [Titulo:Lego Marvel Vingadores ; Preco:R$ 161,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/lego-marvel-vingadores-xbox-one-9246471; Doc:164 ]
69.0 [Titulo:Lego Marvel Vingadores ; Preco:R$ 161,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/lego-marvel-vingadores-xbox-one-9246471.html; Doc:165 ]
70.0 [Titulo:The Elder Scrolls? Online ; Preco:R$ 152,10; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/the-elder-scrollsr-online-tamriel-unlimitedtm-ps4-8883809; Doc:168 ]
71.0 [Titulo:The Elder Scrolls? Online ; Preco:R$ 152,10; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/the-elder-scrollsr-online-tamriel-unlimitedtm-ps4-8883809.html; Doc:169 ]
