2.0 [Titulo:Jogo para PS4 Uncharted The Nathan Drake Collection Sony DADC; Preco:R$ 59,90; ; Url:https://www.walmart.com.br/jogo-para-ps4-uncharted-the-nathan-drake-collection-sony-dadc/3239035/pr; Doc:001 ]
3.0 [Titulo:Jogo para PS4 Transformers Devastation Activision; Preco:R$ 229,90; ; Url:https://www.walmart.com.br/jogo-para-ps4-transformers-devastation-activision/games/playstation/jogos-para-ps4/3732665/pr; Doc:008 ]
4.0 [Titulo:Jogo Lego Marvel Vingadores para PS4 TT Games; Preco:R$ 199,99; ; Url:https://www.walmart.com.br/jogo-lego-marvel-vingadores-para-ps4-tt-games/games/playstation/jogos-para-ps4/3797814/pr; Doc:012 ]
5.0 [Titulo:PS4 The Walking Dead: A New Frontier; Preco:R$ 129,90; ; Url:https://www.walmart.com.br/ps4-the-walking-dead-a-new-frontier/5264876/pr; Doc:016 ]
9.0 [Titulo:PS4; Preco:R$ 39,04; ; Url:https://www.walmart.com.br/ps4-fallout-4/games/playstation/5077950/pr; Doc:028 ]
12.0 [Titulo:Jogo Mario & Luigi: Dream Team; Preco:R$ 79,90; ; Url:https://www.walmart.com.br/jogo-mario-luigi-dream-team-3ds/games/portateis/jogos-para-nintendo-3ds/5519212/pr; Doc:045 ]
15.0 [Titulo:Jogo Wii Sonic and the Black Knight; Preco:R$ 99,90; plataforma:wii; Url:https://www.walmart.com.br/jogo-wii-sonic-and-the-black-knight/games/nintendo/jogos-para-wii/2224453/pr; Doc:064 ]
16.0 [Titulo:Jogo Sonic Generations; Preco:R$ 0,00; ; Url:https://www.walmart.com.br/jogo-sonic-generations-xbox-360/games/xbox/jogos-para-xbox-360/3999286/pr; Doc:070 ]
17.0 [Titulo:Jogo Tony Hawk's Pro Skater 5; Preco:R$ 0,00; ; Url:https://www.walmart.com.br/marca/microsoft-xbox-360/120486; Doc:071 ]
18.0 [Titulo:Jogo Tony Hawk's Pro Skater 5; Preco:R$ 0,00; ; Url:https://www.walmart.com.br/marca/microsoft-xbox-360/120486?fq=b%3a120486&departmentid=&pagenumber=2; Doc:072 ]
19.0 [Titulo:Jogo Tony Hawk's Pro Skater 5; Preco:R$ 0,00; ; Url:https://www.walmart.com.br/marca/microsoft-xbox-360/120486?fq=b%3a120486&fq=b%3a120486&departmentid=&pagenumber=2&departmentid=&pagenumber=2; Doc:073 ]
20.0 [Titulo:Lego Star Wars: The Complete Saga Greatest Hits; Preco:R$ 0,00; ; Url:https://www.walmart.com.br/kp/jogos-star-wars-lego/; Doc:075 ]
21.0 [Titulo:Lego Star Wars: The Complete Saga Greatest Hits; Preco:R$ 0,00; ; Url:https://www.walmart.com.br/kp/jogos-star-wars-lego/?fq=c%3a401%2f8120%2f8137%2f&ft=jogos%20star%20wars%20lego&pagenumber=2; Doc:076 ]
22.0 [Titulo:Lego Star Wars: The Complete Saga Greatest Hits; Preco:R$ 0,00; ; Url:https://www.walmart.com.br/kp/jogos-star-wars-lego/?fq=c%3a401%2f8120%2f8137%2f&ft=jogos%20star%20wars%20lego&pagenumber=2&pagenumber=2; Doc:077 ]
23.0 [Titulo:Lego Batman PS3; Preco:R$ 95,29; ; Url:https://www.walmart.com.br/lego-batman-ps3/3664020/pr; Doc:089 ]
27.0 [Titulo:Minecraft para Xbox 360 minecraft story mode: a telltale games series xbox 360 Minecraft Xbox 360 Edition Xbox 360 Xbox 360 Minecraft Game Minecraft; Preco:R$ 0,00; ; Url:https://www.walmart.com.br/kp/minecraft-xbox/; Doc:096 ]
28.0 [Titulo:Minecraft; Preco:R$ 0,00; ; Url:https://www.walmart.com.br/minecraft-x360/games/xbox/jogos-para-xbox-360/5375646/pr; Doc:097 ]
29.0 [Titulo:Jogo Terra M?dia; Preco:R$ 149,90; plataforma:xbox one; Url:https://www.walmart.com.br/jogo-terra-media-sombras-de-mordor-para-xbox-one/games/xbox/2769904/pr; Doc:104 ]
30.0 [Titulo:Jogo Ryse: Son of Rome; Preco:R$ 0,00; ; Url:https://www.walmart.com.br/kp/ryse-xbox-one/; Doc:105 ]
31.0 [Titulo:FORZA MOTORSPORT 6 XBOX ONE; Preco:R$ 129,90; ; Url:https://www.walmart.com.br/forza-motorsport-6-xbox-one/games/xbox/jogos-para-xbox-one/3360177/pr; Doc:109 ]
32.0 [Titulo:GTA 5; Preco:R$ 0,00; ; Url:https://www.walmart.com.br/marca/rockstar-games/412; Doc:118 ]
33.0 [Titulo:GTA 5; Preco:R$ 0,00; ; Url:https://www.walmart.com.br/marca/rockstar-games/412?fq=b%3a412&departmentid=&pagenumber=2; Doc:119 ]
34.0 [Titulo:GTA 5; Preco:R$ 0,00; ; Url:https://www.walmart.com.br/marca/rockstar-games/412?fq=b%3a412&fq=b%3a412&departmentid=&pagenumber=2&departmentid=&pagenumber=2; Doc:120 ]
35.0 [Titulo:Jogo Beaterator; Preco:R$ 34,90; ; Url:https://www.walmart.com.br/jogo-beaterator-psp/4163961/pr; Doc:121 ]
36.0 [Titulo:Sly Cooper Thiever in time PS VITA; Preco:R$ 89,95; ; Url:https://www.walmart.com.br/sly-cooper-thiever-in-time-ps-vita/games/portateis/jogos-para-ps-vita/5065374/pr; Doc:128 ]
37.0 [Titulo:Lego Batman Movie Fun Pack LEGO Dimensions; Preco:R$ 157,00; ; Url:https://www.walmart.com.br/lego-batman-movie-fun-pack-lego-dimensions/games/portateis/jogos-para-ps-vita/5423175/pr; Doc:129 ]
38.0 [Titulo:Call of Duty: Black Ops III; Preco:R$ 49,90; ; Url:https://www.walmart.com.br/call-of-duty-black-ops-iii-pc/games/jogos-para-pc-e-downloads/jogos-para-pc/3645928/pr; Doc:139 ]
42.0 [Titulo:Call of Duty: Black Ops III; Preco:R$ 49,90; ; Url:https://www.walmart.com.br/call-of-duty-black-ops-iii-pc/games/jogos-para-pc-e-downloads/3645928/pr; Doc:144 ]
43.0 [Titulo:The Sims 4 Ao trabalho PC; Preco:R$ 99,90; ; Url:https://www.walmart.com.br/the-sims-4-ao-trabalho-pc/games/jogos-para-pc-e-downloads/4560591/pr; Doc:145 ]
44.0 [Titulo:Need For Speed Undercover PS3; Preco:R$ 159,90; ; Url:https://www.walmart.com.br/need-for-speed-undercover-ps3/3295826/pr; Doc:149 ]
48.0 [Titulo:Game Ps4 Need For Speed 2015; Preco:R$ 0,00; ; Url:https://www.walmart.com.br/game-ps4-need-for-speed-2015/games/playstation/jogos-para-ps4/4652205/pr; Doc:159 ]
49.0 [Titulo:Jogo; Preco:R$ 0,00; ; Url:https://www.walmart.com.br/jogo-batllefield-4-ps4/games/playstation/jogos-para-ps4/2947031/pr; Doc:160 ]
50.0 [Titulo:Battlefield 4 PS4; Preco:R$ 0,00; ; Url:https://www.walmart.com.br/battlefield-4-ps4/games/playstation/jogos-para-ps4/3749670/pr; Doc:161 ]
51.0 [Titulo:Need for Speed Rivals; Preco:R$ 0,00; ; Url:https://www.walmart.com.br/need-for-speed-rivals-ps4/games/playstation/jogos-para-ps4/3795502/pr; Doc:163 ]
52.0 [Titulo:Game Ps4 Star Wars: Battlefront; Preco:R$ 240,90; ; Url:https://www.walmart.com.br/game-ps4-star-wars-battlefront/games/playstation/jogos-para-ps4/5053679/pr; Doc:165 ]
53.0 [Titulo:Star Wars Battlefront; Preco:R$ 148,00; ; Url:https://www.walmart.com.br/star-wars-battlefront-ps4/games/playstation/jogos-para-ps4/4970697/pr; Doc:166 ]
54.0 [Titulo:Jogo Star Wars Battlefront PS4 EA Games; Preco:R$ 169,00; ; Url:https://www.walmart.com.br/jogo-star-wars-battlefront-ps4-ea-games/games/playstation/jogos-para-ps4/4845962/pr; Doc:168 ]
55.0 [Titulo:Jogo Need for Speed Rivals PS4; Preco:R$ 159,90; ; Url:https://www.walmart.com.br/jogo-need-for-speed-rivals-ps4/games/playstation/jogos-para-ps4/5431481/pr; Doc:169 ]
56.0 [Titulo:Star Wars Battlefront Deluxe Edition; Preco:R$ 198,00; ; Url:https://www.walmart.com.br/star-wars-battlefront-deluxe-edition-ps4/games/playstation/jogos-para-ps4/4970698/pr; Doc:172 ]
57.0 [Titulo:Jogo Need For Speed PS4; Preco:R$ 133,99; ; Url:https://www.walmart.com.br/jogo-need-for-speed-ps4/games/playstation/jogos-para-ps4/5287993/pr; Doc:173 ]
58.0 [Titulo:Jogo Mafia III PS4; Preco:R$ 229,90; ; Url:https://www.walmart.com.br/jogo-mafia-iii-ps4/games/playstation/jogos-para-ps4/5574569/pr; Doc:186 ]
59.0 [Titulo:Jogo Deus Ex Mankind Divided Ps4; Preco:R$ 124,99; ; Url:https://www.walmart.com.br/jogo-deus-ex-mankind-divided-ps4/games/playstation/jogos-para-ps4/5474432/pr; Doc:202 ]
60.0 [Titulo:Jogo Minecraft Ps4; Preco:R$ 0,00; ; Url:https://www.walmart.com.br/jogo-minecraft-ps4/games/playstation/jogos-para-ps4/5474424/pr; Doc:220 ]
61.0 [Titulo:Minecraft Story Mode The Complete Adventure Xbox 360; Preco:R$ 219,90; ; Url:https://www.walmart.com.br/minecraft-story-mode-the-complete-adventure-xbox-360/games/5064904/pr; Doc:223 ]
62.0 [Titulo:Minecraft Story Mode The Complete Adventure PS3 Batman The Telltale Series; Preco:R$ 0,00; ; Url:https://www.walmart.com.br/marca/telltale-games/117654; Doc:224 ]
63.0 [Titulo:Minecraft Story Mode The Complete Adventure PS3 Batman The Telltale Series; Preco:R$ 0,00; ; Url:https://www.walmart.com.br/marca/telltale-games/117654?fq=b%3a117654&departmentid=&pagenumber=2; Doc:225 ]
64.0 [Titulo:Minecraft Story Mode The Complete Adventure PS3 Batman The Telltale Series; Preco:R$ 0,00; ; Url:https://www.walmart.com.br/marca/telltale-games/117654?fq=b%3a117654&fq=b%3a117654&departmentid=&pagenumber=2&departmentid=&pagenumber=2; Doc:226 ]
65.0 [Titulo:Minecraft Story Mode The Complete Adventure PS3; Preco:R$ 199,90; ; Url:https://www.walmart.com.br/minecraft-story-mode-the-complete-adventure-ps3/games/4997682/pr; Doc:237 ]
66.0 [Titulo:Minecraft Playstation 4; Preco:R$ 99,95; ; Url:https://www.walmart.com.br/minecraft-playstation-4/games/4985514/pr; Doc:240 ]
67.0 [Titulo:Jogo NBA 2K17 PS3; Preco:R$ 147,00; ; Url:https://www.walmart.com.br/jogo-nba-2k17-ps3/games/playstation/jogos-para-ps3/4830097/pr; Doc:245 ]
68.0 [Titulo:Jogo Beyond: Two Souls para PS3 Sony 321290; Preco:R$ 49,90; plataforma:ps3; Url:https://www.walmart.com.br/jogo-beyond-two-souls-para-ps3-sony-321290/games/playstation/jogos-para-ps3/2109702/pr; Doc:246 ]
69.0 [Titulo:Jogo Batman: Arkham Origins; Preco:R$ 0,00; ; Url:https://www.walmart.com.br/kp/jogos-play3/; Doc:247 ]
70.0 [Titulo:Jogo PS3 Tomb Raider; Preco:R$ 0,00; plataforma:playstation 3; Url:https://www.walmart.com.br/jogo-ps3-tomb-raider/games/playstation/jogos-para-ps3/2028695/pr; Doc:248 ]
71.0 [Titulo:Jogo PS3 Batman Arkham Asylum Square-Enix; Preco:R$ 0,00; ; Url:https://www.walmart.com.br/jogo-ps3-batman-arkham-asylum-square-enix/games/playstation/jogos-para-ps3/4002548/pr; Doc:258 ]
73.0 [Titulo:Jogo Game Thief PS3; Preco:R$ 0,00; ; Url:https://www.walmart.com.br/jogo-game-thief-ps3/games/playstation/jogos-para-ps3/5409437/pr; Doc:261 ]
75.0 [Titulo:Hitman Absolution PS3; Preco:R$ 0,00; ; Url:https://www.walmart.com.br/hitman-absolution-ps3/games/playstation/jogos-para-ps3/4719081/pr; Doc:263 ]
77.0 [Titulo:Kingdom Hearts 2.5 Remix PS3; Preco:R$ 149,49; ; Url:https://www.walmart.com.br/kingdom-hearts-2-5-remix-ps3/games/playstation/jogos-para-ps3/5058257/pr; Doc:265 ]
79.0 [Titulo:Risen 3: Titan Lords PS3; Preco:R$ 91,99; ; Url:https://www.walmart.com.br/risen-3-titan-lords-ps3/games/playstation/jogos-para-ps3/4819580/pr; Doc:267 ]
81.0 [Titulo:Sacred 3 PS3; Preco:R$ 91,89; ; Url:https://www.walmart.com.br/sacred-3-ps3/games/playstation/jogos-para-ps3/4719101/pr; Doc:269 ]
82.0 [Titulo:Kingdom Hearts HD 1.5 ReMix PS3; Preco:R$ 137,99; ; Url:https://www.walmart.com.br/kingdom-hearts-hd-1-5-remix-ps3/games/playstation/jogos-para-ps3/4719265/pr; Doc:271 ]
85.0 [Titulo:Deus Ex: Human Revolution PS3; Preco:R$ 91,89; ; Url:https://www.walmart.com.br/deus-ex-human-revolution-ps3/games/playstation/jogos-para-ps3/5058301/pr; Doc:275 ]
87.0 [Titulo:Jogo PS3 Final Fantasy XIII-2; Preco:R$ 105,89; plataforma:playstation 3; Url:https://www.walmart.com.br/jogo-ps3-final-fantasy-xiii-2/games/playstation/jogos-para-ps3/2020800/pr; Doc:277 ]
88.0 [Titulo:Jogo PS3 Final Fantasy XIV: A Realm Reborn; Preco:R$ 134,00; ; Url:https://www.walmart.com.br/jogo-ps3-final-fantasy-xiv-a-realm-reborn/games/playstation/jogos-para-ps3/2043490/pr; Doc:279 ]
91.0 [Titulo:Jogo PS3 Kingdom Hearts HD 1.5 Remix; Preco:R$ 119,90; plataforma:playstation 3; Url:https://www.walmart.com.br/jogo-ps3-kingdom-hearts-hd-1-5-remix-square-enix/games/playstation/jogos-para-ps3/2056018/pr; Doc:283 ]
93.0 [Titulo:Saints Row IV; Preco:R$ 60,90; plataforma:ps3; Url:https://www.walmart.com.br/saints-row-iv-ps3/games/playstation/jogos-para-ps3/2044622/pr; Doc:286 ]
94.0 [Titulo:Jogo Thief; Preco:R$ 99,00; plataforma:ps3; Url:https://www.walmart.com.br/jogo-thief-ps3/games/playstation/jogos-para-ps3/2229578/pr; Doc:287 ]
95.0 [Titulo:Jogo PS3; Preco:R$ 59,90; ; Url:https://www.walmart.com.br/jogo-ps3-mortal-kombat-komplete-editon/games/playstation/jogos-para-ps3/2774205/pr; Doc:291 ]
97.0 [Titulo:Jogo Midnight Club: Los Angeles; Preco:R$ 0,00; ; Url:https://www.walmart.com.br/jogo-midnight-club-los-angeles-complete-edition-ps3/games/playstation/jogos-para-ps3/2774595/pr; Doc:299 ]
98.0 [Titulo:Jogo GTA IV: The Complete Edition PS3; Preco:R$ 0,00; ; Url:https://www.walmart.com.br/jogo-gta-iv-the-complete-edition-ps3/games/playstation/jogos-para-ps3/3745401/pr; Doc:301 ]
